道具ID,道具名称,道具说明,星级,道具类型,礼包掉落ID,随机道具,金币,元宝,卡牌,装备,装备碎片,经验,战功,声望,将魂,体力,好感度,使用类型,开放等级,道具icon,道具资源,可堆叠,堆叠上限,权值,内含道具,元宝价格,银币价格,产地,产出描述1,产出副本1,产出关卡1,产出描述2,产出副本2,产出关卡2,产出描述3,产出副本3,产出关卡3,产出描述4,产出副本4,产出关卡4,产出描述5,产出副本5,产出关卡5,产出描述6,产出副本6,产出关卡6
2120,邹氏碎片,收集10个邹氏碎片，可合成1星弓兵武将邹氏，且是其升星所需材料.,1,8,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,曹洪碎片,收集10个曹洪碎片，可合成1星步兵武将曹洪，且是其升星所需材料.,1,8,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,曹昂碎片,收集10个曹昂碎片，可合成1星步兵武将曹昂，且是其升星所需材料.,1,8,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,袁绍碎片,收集10个袁绍碎片，可合成1星步兵武将袁绍，且是其升星所需材料.,2,8,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,邓芝碎片,收集10个邓芝碎片，可合成1星步兵武将邓芝，且是其升星所需材料.,1,8,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,刘禅碎片,收集10个刘禅碎片，可合成1星步兵武将刘禅，且是其升星所需材料.,1,8,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,吕岱碎片,收集10个吕岱碎片，可合成1星步兵武将吕岱，且是其升星所需材料.,1,8,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,潘璋碎片,收集10个潘璋碎片，可合成1星步兵武将潘璋，且是其升星所需材料.,1,8,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,夏侯霸碎片,收集10个夏侯霸碎片，可合成1星骑兵武将夏侯霸，且是其升星所需材料.,1,8,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129,孙乾碎片,收集10个孙乾碎片，可合成1星弓兵武将孙乾，且是其升星所需材料.,1,8,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130,蒋琬碎片,收集10个蒋琬碎片，可合成1星骑兵武将蒋琬，且是其升星所需材料.,1,8,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131,钟会碎片,收集10个钟会碎片，可合成1星弓兵武将钟会，且是其升星所需材料.,1,8,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,廖化碎片,收集10个廖化碎片，可合成1星军师武将廖化，且是其升星所需材料.,1,8,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2133,华歆碎片,收集10个华歆碎片，可合成1星步兵武将华歆，且是其升星所需材料.,1,8,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,文钦碎片,收集10个文钦碎片，可合成1星骑兵武将文钦，且是其升星所需材料.,1,8,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,李傕碎片,收集10个李傕碎片，可合成1星骑兵武将李傕，且是其升星所需材料.,1,8,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,文鸯碎片,收集10个文鸯碎片，可合成1星弓兵武将文鸯，且是其升星所需材料.,1,8,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,文聘碎片,收集10个文聘碎片，可合成1星骑兵武将文聘，且是其升星所需材料.,1,8,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,蔡瑁碎片,收集10个蔡瑁碎片，可合成1星弓兵武将蔡瑁，且是其升星所需材料.,1,8,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,张燕碎片,收集10个张燕碎片，可合成1星步兵武将张燕，且是其升星所需材料.,1,8,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140,韩浩碎片,收集10个韩浩碎片，可合成1星步兵武将韩浩，且是其升星所需材料.,1,8,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,花蔓碎片,收集10个花蔓碎片，可合成1星军师武将花蔓，且是其升星所需材料.,1,8,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,吕玲绮碎片,收集10个吕玲绮碎片，可合成1星军师武将吕玲绮，且是其升星所需材料.,1,8,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,太史昭容碎片,收集10个太史昭容碎片，可合成1星军师武将太史昭容，且是其升星所需材料.,1,8,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144,顾雍碎片,收集10个顾雍碎片，可合成1星军师武将顾雍，且是其升星所需材料.,1,8,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2145,诸葛瑾碎片,收集10个诸葛瑾碎片，可合成1星军师武将诸葛瑾，且是其升星所需材料.,1,8,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,荀攸碎片,收集10个荀攸碎片，可合成1星军师武将荀攸，且是其升星所需材料.,1,8,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,程昱碎片,收集10个程昱碎片，可合成1星军师武将程昱，且是其升星所需材料.,1,8,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,曹植碎片,收集10个曹植碎片，可合成1星军师武将曹植，且是其升星所需材料.,1,8,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,许攸碎片,收集10个许攸碎片，可合成1星军师武将许攸，且是其升星所需材料.,1,8,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,李严碎片,收集10个李严碎片，可合成1星军师武将李严，且是其升星所需材料.,1,8,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,张角碎片,收集10个张角碎片，可合成1星军师武将张角，且是其升星所需材料.,1,8,,,,,151,,,,,,,,,,,,,,,,,,,5 5 5 9,,201,20103,,207,20701,,211,21101,,,,,,,,,
2152,郭女王碎片,收集10个郭女王碎片，可合成1星弓兵武将郭女王，且是其升星所需材料.,1,8,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,诸葛果碎片,收集10个诸葛果碎片，可合成1星军师武将诸葛果，且是其升星所需材料.,1,8,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,文蕊碎片,收集10个文蕊碎片，可合成1星弓兵武将文蕊，且是其升星所需材料.,1,8,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2155,糜竺碎片,收集10个糜竺碎片，可合成1星弓兵武将糜竺，且是其升星所需材料.,1,8,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2156,蒋干碎片,收集10个蒋干碎片，可合成1星步兵武将蒋干，且是其升星所需材料.,1,8,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2157,兀突骨碎片,收集10个兀突骨碎片，可合成1星步兵武将兀突骨，且是其升星所需材料.,1,8,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158,祖茂碎片,收集10个祖茂碎片，可合成1星骑兵武将祖茂，且是其升星所需材料.,1,8,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,皇甫嵩碎片,收集10个皇甫嵩碎片，可合成1星骑兵武将皇甫嵩，且是其升星所需材料.,1,8,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2160,陈琳碎片,收集10个陈琳碎片，可合成1星弓兵武将陈琳，且是其升星所需材料.,1,8,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,张松碎片,收集10个张松碎片，可合成1星弓兵武将张松，且是其升星所需材料.,1,8,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,孙翊碎片,收集10个孙翊碎片，可合成1星弓兵武将孙翊，且是其升星所需材料.,1,8,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163,孙韶碎片,收集10个孙韶碎片，可合成1星弓兵武将孙韶，且是其升星所需材料.,1,8,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2164,陈表碎片,收集10个陈表碎片，可合成1星弓兵武将陈表，且是其升星所需材料.,1,8,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,董允碎片,收集10个董允碎片，可合成1星弓兵武将董允，且是其升星所需材料.,1,8,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2166,张梁碎片,收集10个张梁碎片，可合成1星骑兵武将张梁，且是其升星所需材料.,1,8,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,韩德碎片,收集10个韩德碎片，可合成1星骑兵武将韩德，且是其升星所需材料.,1,8,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2168,臧霸碎片,收集10个臧霸碎片，可合成1星骑兵武将臧霸，且是其升星所需材料.,1,8,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2169,陈纪碎片,收集10个陈纪碎片，可合成1星骑兵武将陈纪，且是其升星所需材料.,1,8,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,韩猛碎片,收集10个韩猛碎片，可合成1星骑兵武将韩猛，且是其升星所需材料.,1,8,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,黄祖碎片,收集10个黄祖碎片，可合成1星骑兵武将黄祖，且是其升星所需材料.,1,8,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172,刘璋碎片,收集10个刘璋碎片，可合成1星骑兵武将刘璋，且是其升星所需材料.,1,8,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,孙桓碎片,收集10个孙桓碎片，可合成1星骑兵武将孙桓，且是其升星所需材料.,1,8,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,朱异碎片,收集10个朱异碎片，可合成1星骑兵武将朱异，且是其升星所需材料.,1,8,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,陈宫碎片,收集30个陈宫碎片，可合成2星军师武将陈宫，且是其升星所需材料.,1,8,,,,,175,,,,,,,,,,,,,,,,,,,5 5 5 9,,203,20303,,206,20602,,207,20705,,,,,,,,,
2176,高顺碎片,收集10个高顺碎片，可合成1星步兵武将高顺，且是其升星所需材料.,1,8,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,麴义碎片,收集10个麴义碎片，可合成1星骑兵武将麴义，且是其升星所需材料.,1,8,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,张勋碎片,收集10个张勋碎片，可合成1星骑兵武将张勋，且是其升星所需材料.,1,8,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,高览碎片,收集10个高览碎片，可合成1星骑兵武将高览，且是其升星所需材料.,1,8,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180,淳于琼碎片,收集10个淳于琼碎片，可合成1星骑兵武将淳于琼，且是其升星所需材料.,1,8,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,曹真碎片,收集10个曹真碎片，可合成1星骑兵武将曹真，且是其升星所需材料.,1,8,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,韩遂碎片,收集10个韩遂碎片，可合成1星骑兵武将韩遂，且是其升星所需材料.,1,8,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,骆统碎片,收集10个骆统碎片，可合成1星军师武将骆统，且是其升星所需材料.,1,8,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,朱然碎片,收集10个朱然碎片，可合成1星军师武将朱然，且是其升星所需材料.,1,8,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,蒯越碎片,收集10个蒯越碎片，可合成1星军师武将蒯越，且是其升星所需材料.,1,8,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,董昭碎片,收集10个董昭碎片，可合成1星军师武将董昭，且是其升星所需材料.,1,8,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2187,陈群碎片,收集10个陈群碎片，可合成1星军师武将陈群，且是其升星所需材料.,1,8,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2188,田丰碎片,收集10个田丰碎片，可合成1星军师武将田丰，且是其升星所需材料.,1,8,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,费祎碎片,收集10个费祎碎片，可合成1星军师武将费祎，且是其升星所需材料.,1,8,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,郭攸之碎片,收集10个郭攸之碎片，可合成1星军师武将郭攸之，且是其升星所需材料.,1,8,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2191,孙峻碎片,收集10个孙峻碎片，可合成1星弓兵武将孙峻，且是其升星所需材料.,1,8,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,董袭碎片,收集10个董袭碎片，可合成1星弓兵武将董袭，且是其升星所需材料.,1,8,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2193,司马徽碎片,收集10个司马徽碎片，可合成1星弓兵武将司马徽，且是其升星所需材料.,1,8,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2194,沮授碎片,收集10个沮授碎片，可合成1星弓兵武将沮授，且是其升星所需材料.,1,8,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2195,曹休碎片,收集10个曹休碎片，可合成1星弓兵武将曹休，且是其升星所需材料.,1,8,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,曹爽碎片,收集10个曹爽碎片，可合成1星弓兵武将曹爽，且是其升星所需材料.,1,8,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2197,曹睿碎片,收集10个曹睿碎片，可合成1星弓兵武将曹睿，且是其升星所需材料.,1,8,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,刘封碎片,收集10个刘封碎片，可合成1星弓兵武将刘封，且是其升星所需材料.,1,8,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,张鲁碎片,收集10个张鲁碎片，可合成1星弓兵武将张鲁，且是其升星所需材料.,1,8,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,张允碎片,收集10个张允碎片，可合成1星弓兵武将张允，且是其升星所需材料.,1,8,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,张宝碎片,收集10个张宝碎片，可合成1星步兵武将张宝，且是其升星所需材料.,1,8,,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2202,刘表碎片,收集10个刘表碎片，可合成1星步兵武将刘表，且是其升星所需材料.,1,8,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,朱桓碎片,收集10个朱桓碎片，可合成1星步兵武将朱桓，且是其升星所需材料.,1,8,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,曹纯碎片,收集10个曹纯碎片，可合成1星步兵武将曹纯，且是其升星所需材料.,1,8,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,夏侯尚碎片,收集10个夏侯尚碎片，可合成1星步兵武将夏侯尚，且是其升星所需材料.,1,8,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,张任碎片,收集10个张任碎片，可合成1星步兵武将张任，且是其升星所需材料.,1,8,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,严颜碎片,收集10个严颜碎片，可合成1星步兵武将严颜，且是其升星所需材料.,1,8,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,木鹿大王碎片,收集10个木鹿大王碎片，可合成1星步兵武将木鹿大王，且是其升星所需材料.,1,8,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,苏飞碎片,收集10个苏飞碎片，可合成1星弓兵武将苏飞，且是其升星所需材料.,1,8,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,王粲碎片,收集10个王粲碎片，可合成1星弓兵武将王粲，且是其升星所需材料.,1,8,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2211,蒯良碎片,收集10个蒯良碎片，可合成1星军师武将蒯良，且是其升星所需材料.,1,8,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,带来洞主碎片,收集10个带来洞主碎片，可合成1星弓兵武将带来洞主，且是其升星所需材料.,1,8,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213,孟优碎片,收集10个孟优碎片，可合成1星弓兵武将孟优，且是其升星所需材料.,1,8,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214,朵思大王碎片,收集10个朵思大王碎片，可合成1星弓兵武将朵思大王，且是其升星所需材料.,1,8,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2215,车胄碎片,收集10个车胄碎片，可合成1星步兵武将车胄，且是其升星所需材料.,1,8,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,程银碎片,收集10个程银碎片，可合成1星步兵武将程银，且是其升星所需材料.,1,8,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,成宜碎片,收集10个成宜碎片，可合成1星步兵武将成宜，且是其升星所需材料.,1,8,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,雷薄碎片,收集10个雷薄碎片，可合成1星步兵武将雷薄，且是其升星所需材料.,1,8,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219,陈兰碎片,收集10个陈兰碎片，可合成1星步兵武将陈兰，且是其升星所需材料.,1,8,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,孟坦碎片,收集10个孟坦碎片，可合成1星步兵武将孟坦，且是其升星所需材料.,1,8,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,孟达碎片,收集10个孟达碎片，可合成1星步兵武将孟达，且是其升星所需材料.,1,8,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2222,马玩碎片,收集10个马玩碎片，可合成1星步兵武将马玩，且是其升星所需材料.,1,8,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,糜芳碎片,收集10个糜芳碎片，可合成1星步兵武将糜芳，且是其升星所需材料.,1,8,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,孙河碎片,收集10个孙河碎片，可合成1星骑兵武将孙河，且是其升星所需材料.,1,8,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,韩福碎片,收集10个韩福碎片，可合成1星骑兵武将韩福，且是其升星所需材料.,1,8,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226,秦琪碎片,收集10个秦琪碎片，可合成1星骑兵武将秦琪，且是其升星所需材料.,1,8,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,金环三节碎片,收集10个金环三节碎片，可合成1星骑兵武将金环三节，且是其升星所需材料.,1,8,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,刘琦碎片,收集10个刘琦碎片，可合成1星骑兵武将刘琦，且是其升星所需材料.,1,8,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2229,韩玄碎片,收集10个韩玄碎片，可合成1星骑兵武将韩玄，且是其升星所需材料.,1,8,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,金旋碎片,收集10个金旋碎片，可合成1星骑兵武将金旋，且是其升星所需材料.,1,8,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,袁耀碎片,收集10个袁耀碎片，可合成1星骑兵武将袁耀，且是其升星所需材料.,1,8,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,孙静碎片,收集10个孙静碎片，可合成1星军师武将孙静，且是其升星所需材料.,1,8,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233,全琮碎片,收集10个全琮碎片，可合成1星军师武将全琮，且是其升星所需材料.,1,8,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2234,刘琮碎片,收集10个刘琮碎片，可合成1星军师武将刘琮，且是其升星所需材料.,1,8,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2235,杨弘碎片,收集10个杨弘碎片，可合成1星军师武将杨弘，且是其升星所需材料.,1,8,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236,孙綝碎片,收集10个孙綝碎片，可合成1星弓兵武将孙綝，且是其升星所需材料.,1,8,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237,卞喜碎片,收集10个卞喜碎片，可合成1星弓兵武将卞喜，且是其升星所需材料.,1,8,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2238,董荼那碎片,收集10个董荼那碎片，可合成1星弓兵武将董荼那，且是其升星所需材料.,1,8,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,阿会喃碎片,收集10个阿会喃碎片，可合成1星弓兵武将阿会喃，且是其升星所需材料.,1,8,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,傅士仁碎片,收集10个傅士仁碎片，可合成1星弓兵武将傅士仁，且是其升星所需材料.,1,8,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2241,侯选碎片,收集10个侯选碎片，可合成1星弓兵武将侯选，且是其升星所需材料.,1,8,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,张横碎片,收集10个张横碎片，可合成1星弓兵武将张横，且是其升星所需材料.,1,8,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,袁胤碎片,收集10个袁胤碎片，可合成1星弓兵武将袁胤，且是其升星所需材料.,1,8,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244,阎象碎片,收集10个阎象碎片，可合成1星弓兵武将阎象，且是其升星所需材料.,1,8,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2245,田楷碎片,收集10个田楷碎片，可合成1星弓兵武将田楷，且是其升星所需材料.,1,8,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246,孙匡碎片,收集10个孙匡碎片，可合成1星步兵武将孙匡，且是其升星所需材料.,1,8,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247,孙瑜碎片,收集10个孙瑜碎片，可合成1星步兵武将孙瑜，且是其升星所需材料.,1,8,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248,孔秀碎片,收集10个孔秀碎片，可合成1星步兵武将孔秀，且是其升星所需材料.,1,8,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,王植碎片,收集10个王植碎片，可合成1星步兵武将王植，且是其升星所需材料.,1,8,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,忙牙长碎片,收集10个忙牙长碎片，可合成1星步兵武将忙牙长，且是其升星所需材料.,1,8,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251,严纲碎片,收集10个严纲碎片，可合成1星步兵武将严纲，且是其升星所需材料.,1,8,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,胡车儿碎片,收集10个胡车儿碎片，可合成1星步兵武将胡车儿，且是其升星所需材料.,1,8,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,梁兴碎片,收集10个梁兴碎片，可合成1星步兵武将梁兴，且是其升星所需材料.,1,8,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,杨秋碎片,收集10个杨秋碎片，可合成1星步兵武将杨秋，且是其升星所需材料.,1,8,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2255,李堪碎片,收集10个李堪碎片，可合成1星步兵武将李堪，且是其升星所需材料.,1,8,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,桥蕤碎片,收集10个桥蕤碎片，可合成1星步兵武将桥蕤，且是其升星所需材料.,1,8,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2257,乐就碎片,收集10个乐就碎片，可合成1星步兵武将乐就，且是其升星所需材料.,1,8,,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2258,韩胤碎片,收集10个韩胤碎片，可合成1星步兵武将韩胤，且是其升星所需材料.,1,8,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2259,董卓碎片,收集30个董卓碎片，可合成2星步兵武将董卓，且是其升星所需材料.,2,8,,,,,259,,,,,,,,,,,,,,,,,,,5 5 5 9,,203,20302,,204,20404,,214,21404,,,,,,,,,
2260,陶谦碎片,收集10个陶谦碎片，可合成1星军师武将陶谦，且是其升星所需材料.,1,8,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2261,于毒碎片,收集10个于毒碎片，可合成1星步兵武将于毒，且是其升星所需材料.,1,8,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,白绕碎片,收集10个白绕碎片，可合成1星步兵武将白绕，且是其升星所需材料.,1,8,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
