武将ID,武将名称,阵营,职业ID,职业名称,星级,初始生命,初始攻击,初始防御,生命成长,攻击成长,防御成长,初始闪避,初始命中,初始格挡,初始破击,初始暴击,初始韧性,初始爆伤,初始抵抗,移动速度,攻击速度,攻击距离,普攻子弹ID,必杀技ID,必杀技CD,技能配音ID,进化1材料,进化2材料,进化3材料,进化4材料,进化5材料,进化6材料,进化7材料,进化8材料,进化9材料,进化10材料,进化11材料,进化12材料,武将简介,头像资源,人物资源,卡牌资源,骨骼动画,通用模型技能动作,骨骼比例,骨骼特效,骨骼特效比例,权值,掉落区域,性别,被动技能1,被动技能2,被动技能3,首轮顺序,循环顺序,情缘,图鉴开关
224,孙河,4,3,骑兵,1,1920,304,240,193.2,30.8,24.2,0,0,0,0,0,0,0,0,,100,,257,,15000,192,6004 6004 6003 6002 6001 6001,6025 6024 6014 6011 6011 6003,6071 6044 6021 6014 6012 6003,6097 6094 6045 6045 6022 6014,6095 6092 6072 6044 6041 6023,6146 6096 6091 6073 6047 6041,6144 6142 6093 6078 6077 6047,6197 6148 6122 6094 6076 6048,6196 6177 6144 6098 6096 6045,6197 6192 6128 6096 6095 6078,6227 6217 6197 6178 6142 6126,6226 6224 6195 6174 6147 6127,孙河，字伯海，孙桓父，本姓俞氏，孙策赐姓孙，亦系吴王宗族，生四子。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/qibing2_y,,65,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
225,韩福,2,3,骑兵,1,1973,310,242,198.5,31.4,24.4,0,0,0,0,0,0,0,0,,100,,257,,15000,193,6004 6004 6003 6003 6002 6001,6027 6026 6014 6013 6011 6001,6075 6048 6023 6013 6012 6002,6094 6092 6046 6043 6024 6014,6098 6092 6073 6048 6046 6025,6144 6098 6098 6071 6045 6043,6145 6145 6091 6078 6072 6048,6193 6148 6122 6096 6071 6043,6196 6178 6144 6094 6091 6046,6197 6194 6123 6094 6094 6071,6222 6211 6196 6173 6148 6126,6228 6226 6192 6175 6146 6122,过五关斩六将-洛阳城,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/qibing2_y,,65,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
226,秦琪,2,3,骑兵,1,1923,309,239,193.5,31.3,24.1,0,0,0,0,0,0,0,0,,100,,257,,15000,191,6004 6004 6003 6002 6002 6001,6028 6026 6013 6011 6011 6002,6073 6048 6014 6013 6013 6004,6094 6091 6014 6047 6023 6011,6096 6095 6014 6048 6042 6023,6145 6098 6014 6076 6044 6042,6142 6142 6014 6077 6074 6046,6195 6148 6014 6093 6075 6045,6195 6174 6014 6095 6093 6041,6194 6192 6014 6093 6092 6074,6227 6217 6014 6175 6142 6128,6228 6226 6014 6174 6142 6124,过五关斩六将-黄河渡口,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/qibing2_y,,65,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
227,金环三节,3,3,骑兵,1,1906,297,245,191.8,30.1,24.7,0,0,0,0,0,0,0,0,,100,,257,,15000,192,6004 6003 6003 6002 6001 6001,6026 6023 6013 6013 6012 6002,6078 6043 6025 6013 6012 6002,6097 6094 6048 6047 6025 6014,6098 6093 6076 6046 6042 6027,6148 6096 6096 6075 6047 6042,6146 6146 6095 6076 6074 6043,6198 6146 6122 6097 6073 6044,6195 6176 6144 6098 6094 6044,6196 6191 6124 6093 6092 6074,6227 6213 6195 6176 6146 6126,6224 6224 6195 6174 6147 6127,金环三节，南蛮王孟获属下大将，第一洞元帅。与蜀汉军作战，被赵云杀死。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/qibing2_y,,65,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
228,刘琦,3,3,骑兵,1,1955,309,250,196.7,31.3,25.3,0,0,0,0,0,0,0,0,,100,,257,,15000,193,6004 6004 6003 6003 6002 6001,6027 6023 6014 6011 6011 6004,6071 6046 6026 6013 6011 6002,6098 6093 6047 6045 6022 6011,6096 6095 6077 6046 6044 6022,6144 6098 6096 6073 6045 6043,6142 6141 6092 6078 6072 6041,6191 6147 6128 6095 6076 6043,6193 6176 6146 6098 6096 6044,6193 6191 6127 6097 6092 6074,6228 6218 6191 6173 6148 6125,6228 6222 6192 6175 6148 6127,刘琦，山阳高平人，荆州牧刘表之长子。刘表初以刘琦之相貌与自己甚为相像，十分宠爱他。及至刘表病重，刘琦归看父疾，为张允等人所阻遏于门外，不能得见，刘琦无奈流涕而去。蔡瑁等便以刘琮为嗣。曹操军至新野，刘琮投降，刘琦避走江南。曹操战败于赤壁后，刘备表刘琦为荆州刺史，明年逝世。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/qibing2_y,,65,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
229,韩玄,1,3,骑兵,1,1948,312,242,196,31.6,24.4,0,0,0,0,0,0,0,0,,100,,257,,15000,191,6004 6003 6002 6002 6001 6001,6026 6023 6014 6012 6011 6003,6071 6044 6027 6014 6014 6003,6095 6093 6047 6041 6021 6014,6096 6096 6078 6044 6044 6028,6146 6097 6095 6074 6048 6041,6145 6145 6095 6078 6072 6048,6193 6143 6127 6093 6072 6042,6197 6171 6144 6096 6092 6042,6197 6197 6124 6095 6095 6077,6224 6218 6192 6171 6144 6124,6227 6221 6195 6176 6148 6122,韩玄，长沙太守，平生性急，轻于杀戮。在刘备攻打长沙时，韩玄怀疑部将黄忠欲投降而下令杀之。魏延劝止不住便将韩玄杀死。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/qibing2_y,,65,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
230,金旋,1,3,骑兵,1,1895,318,241,190.7,32.2,24.3,0,0,0,0,0,0,0,0,,100,,257,,15000,192,6004 6003 6002 6002 6001 6001,6025 6022 6014 6012 6011 6001,6078 6047 6021 6013 6011 6002,6097 6096 6046 6043 6028 6012,6093 6091 6077 6042 6041 6025,6143 6093 6091 6071 6045 6045,6147 6144 6096 6078 6078 6042,6195 6145 6128 6097 6076 6048,6193 6174 6143 6098 6096 6041,6193 6193 6124 6098 6094 6077,6226 6217 6194 6172 6146 6126,6228 6227 6193 6175 6141 6121,金旋，字符机，京兆人。历任黄门郎，汉阳太守，议郎，中郎将，武陵太守等职。在刘备攻打武陵时，金旋因拒降而被其手下从事巩志杀死。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/qibing2_y,,65,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
231,袁耀,1,3,骑兵,1,1944,308,251,195.6,31.2,25.3,0,0,0,0,0,0,0,0,,100,,257,,15000,193,6004 6003 6003 6002 6002 6001,6027 6026 6013 6012 6011 6002,6072 6046 6021 6012 6011 6004,6097 6093 6044 6043 6023 6013,6098 6094 6077 6048 6047 6028,6145 6094 6091 6075 6048 6045,6147 6145 6095 6078 6075 6044,6191 6148 6125 6096 6076 6047,6195 6178 6143 6097 6092 6043,6193 6193 6126 6097 6095 6072,6225 6217 6196 6177 6148 6121,6227 6222 6197 6171 6144 6121,袁耀，袁术部将。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/qibing2_y,,65,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
232,孙静,4,5,军师,1,1248,407,179,126,41.3,18.1,0,0,0,0,0,0,0,0,,100,,269,,15000,191,6004 6003 6003 6002 6002 6001,6025 6024 6014 6013 6011 6003,6077 6046 6022 6014 6011 6001,6092 6091 6047 6041 6027 6013,6098 6097 6074 6042 6042 6025,6144 6095 6092 6071 6046 6043,6143 6142 6094 6077 6076 6048,6197 6145 6124 6097 6072 6043,6195 6176 6144 6098 6096 6042,6198 6191 6125 6096 6092 6074,6226 6211 6193 6177 6146 6127,6223 6221 6196 6171 6147 6122,孙静，字幼台，孙坚之弟，在孙坚最初起兵时帮助孙坚纠合了数百亲信部队。后来，孙策平定江东时请孙静来相会，孙静帮助孙策出谋划策，击败了会稽太守王朗。孙策想重用孙静，但孙静留恋家乡与同宗的亲人，不愿意做官，于是留守于家乡。孙权继位后，提升了孙静的官职，孙静最后在家中去世。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/junshi1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
233,全琮,4,5,军师,1,1274,388,172,128.7,39.3,17.4,0,0,0,0,0,0,0,0,,100,,269,,15000,192,6003 6003 6002 6002 6001 6001,6027 6026 6013 6012 6011 6001,6074 6042 6026 6012 6011 6003,6092 6091 6043 6041 6024 6011,6098 6092 6072 6046 6043 6022,6146 6093 6093 6072 6046 6044,6143 6143 6091 6073 6072 6044,6192 6147 6126 6094 6076 6043,6197 6176 6144 6098 6092 6041,6195 6194 6125 6096 6096 6072,6228 6218 6195 6176 6141 6121,6227 6225 6192 6177 6141 6127,全琮，字子璜，吴郡钱塘（今杭州市）人。全琮在东吴历任会稽东部都尉、桂阳太守。黄武元年（公元222年），因击败魏军有功而任绥南将军，封钱塘侯，九江太守。黄龙元年（公元229年）调任卫将军，左护军，徐州牧并与公主结婚。赤乌九年（公元246年），升任右大司马，左军师。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/junshi1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
234,刘琮,1,5,军师,1,1230,397,176,124.2,40.2,17.8,0,0,0,0,0,0,0,0,,100,,269,,15000,193,6004 6003 6003 6002 6002 6001,6027 6023 6014 6013 6011 6001,6078 6046 6024 6013 6011 6002,6095 6092 6047 6042 6028 6011,6094 6092 6077 6047 6047 6025,6148 6098 6092 6074 6047 6041,6146 6145 6092 6076 6073 6042,6195 6147 6122 6096 6077 6042,6195 6175 6146 6098 6096 6041,6196 6193 6126 6095 6092 6077,6226 6218 6195 6177 6142 6123,6226 6222 6191 6177 6142 6128,刘琮，山阳高平人，荆州牧刘表之次子。刘琮娶刘表后妻蔡氏之侄女为妻，蔡氏因此爱刘琮而恶刘琦，常向刘表进毁琦誉琮之言。刘表宠耽后妻，每每信而受之。刘表妻弟蔡瑁及外甥张允同样得幸于刘表，亦与刘琮相睦。刘琦出为江夏太守，蔡瑁、张允等众奉刘琮为嗣。荆州群臣如蒯越、韩嵩及东曹掾傅巽等均游说刘琮归降曹操，曹操军到襄阳，刘琮便举州往降。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/junshi1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
235,杨弘,1,5,军师,1,1217,385,184,122.9,38.9,18.6,0,0,0,0,0,0,0,0,,100,,269,,15000,191,6004 6004 6003 6002 6001 6001,6025 6024 6014 6011 6011 6002,6076 6048 6022 6011 6011 6004,6098 6097 6048 6041 6026 6012,6092 6091 6073 6046 6042 6023,6146 6094 6091 6077 6047 6047,6147 6146 6095 6075 6072 6042,6197 6148 6121 6095 6074 6044,6192 6173 6145 6095 6095 6047,6196 6193 6125 6095 6091 6071,6224 6218 6197 6171 6148 6122,6223 6221 6195 6171 6148 6125,杨弘，袁术重要谋士，担任长史。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/junshi1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
236,孙綝,4,4,弓兵,1,1129,427,158,114.2,43.1,16.3,0,0,0,0,0,0,0,0,,100,,263,,15000,192,6004 6003 6003 6002 6001 6001,6023 6021 6013 6012 6011 6001,6077 6046 6023 6014 6012 6003,6091 6091 6047 6042 6023 6013,6093 6092 6071 6044 6042 6028,6144 6097 6096 6078 6047 6043,6145 6145 6095 6073 6072 6041,6192 6146 6121 6098 6077 6046,6195 6178 6143 6092 6091 6045,6197 6192 6125 6095 6094 6075,6225 6215 6192 6177 6145 6126,6228 6225 6191 6178 6141 6124,孙綝，字子通，初为偏将军，及孙峻死，为侍中武卫将军，领中外诸军事，代知朝政。杀死政敌吕据、滕胤后升迁为大将军，假节，封永宁侯。孙綝与魏国作战，遭受惨败，又自戮名将，兵将莫不怨之。綝负贵倨傲，多行无礼，凶虐盈溢。吴主孙亮欲杀孙綝，事泄不成。孙綝废帝为会稽王，立琅琊王孙休，是为景帝。后景帝与张布、丁奉设计在宫殿杀死孙綝。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
237,卞喜,2,4,弓兵,1,1114,422,159,112.6,42.6,16.4,0,0,0,0,0,0,0,0,,100,,263,,15000,193,6004 6003 6003 6002 6002 6001,6028 6023 6014 6011 6011 6002,6077 6045 6024 6013 6011 6002,6094 6093 6048 6043 6027 6011,6098 6092 6071 6044 6042 6022,6146 6098 6094 6071 6044 6043,6145 6144 6091 6074 6074 6047,6191 6142 6123 6093 6077 6043,6193 6175 6144 6098 6097 6044,6197 6194 6121 6098 6091 6072,6224 6214 6198 6171 6142 6123,6226 6221 6191 6176 6146 6121,过五关斩六将-汜水关,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
238,董荼那,3,4,弓兵,1,1081,435,159,109.3,43.9,16.4,0,0,0,0,0,0,0,0,,100,,263,,15000,191,6004 6004 6003 6002 6001 6001,6021 6021 6013 6013 6012 6003,6078 6044 6021 6013 6011 6003,6093 6091 6048 6047 6023 6012,6098 6098 6071 6042 6041 6023,6147 6095 6094 6076 6047 6046,6143 6141 6095 6077 6072 6046,6193 6144 6121 6096 6072 6045,6192 6171 6146 6097 6097 6048,6196 6195 6121 6093 6091 6075,6228 6211 6196 6172 6147 6127,6223 6221 6192 6175 6142 6128,董荼那，孟获第二洞元帅。为张嶷擒。释后为获所杀。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
239,阿会喃,3,4,弓兵,1,1135,423,161,114.7,42.7,16.6,0,0,0,0,0,0,0,0,,100,,263,,15000,191,6004 6004 6003 6002 6002 6001,6026 6024 6013 6013 6012 6002,6076 6041 6024 6013 6013 6003,6098 6092 6043 6042 6023 6014,6098 6096 6077 6047 6041 6021,6142 6096 6096 6074 6044 6041,6148 6145 6094 6078 6077 6046,6197 6144 6128 6094 6077 6046,6195 6178 6148 6092 6091 6043,6196 6194 6121 6094 6093 6078,6225 6215 6192 6174 6144 6125,6226 6221 6198 6178 6146 6121,阿会喃，南蛮王孟获属下大将，第三洞元帅。与蜀汉军作战，被俘虏后又被释放。再次出战时，被唾骂不知羞耻，面红耳赤的退军。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
240,傅士仁,3,4,弓兵,1,1119,440,159,113.1,44.4,16.4,0,0,0,0,0,0,0,0,,100,,263,,15000,192,6003 6003 6002 6002 6001 6001,6028 6026 6014 6013 6011 6001,6074 6041 6021 6013 6011 6003,6091 6091 6042 6042 6025 6011,6098 6095 6073 6045 6042 6023,6147 6093 6091 6075 6047 6045,6148 6142 6096 6075 6073 6043,6198 6141 6128 6091 6078 6048,6192 6171 6145 6096 6091 6048,6196 6193 6124 6097 6093 6071,6227 6213 6197 6173 6145 6121,6223 6221 6196 6172 6143 6127,傅士仁，字君义，广阳人，关羽的部下，镇守公安。但和糜芳向吕蒙倒戈致使关羽败亡，吴军占领整个荆州。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
241,侯选,1,4,弓兵,1,1162,421,157,117.5,42.5,16.2,0,0,0,0,0,0,0,0,,100,,263,,15000,193,6004 6004 6002 6002 6001 6001,6026 6025 6014 6013 6012 6004,6076 6046 6026 6014 6011 6001,6095 6092 6044 6043 6022 6012,6096 6094 6077 6047 6042 6026,6146 6096 6093 6076 6046 6043,6147 6145 6092 6076 6076 6044,6191 6141 6122 6096 6071 6047,6192 6172 6141 6092 6092 6048,6197 6195 6124 6098 6097 6074,6227 6215 6198 6174 6144 6124,6224 6224 6198 6175 6147 6128,侯选，关中将领，拥兵割据一方。后联合马超、韩遂、梁兴、程银、李堪、张横、成宜、马玩、杨秋共十部势力起兵反抗曹操。后来韩遂中了曹操军的离间计，侯选遂成为曹操部下。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
242,张横,1,4,弓兵,1,1100,445,159,111.2,44.9,16.4,0,0,0,0,0,0,0,0,,100,,263,,15000,191,6004 6004 6003 6003 6001 6001,6027 6027 6014 6012 6012 6003,6077 6043 6028 6013 6012 6004,6096 6094 6046 6046 6026 6013,6097 6096 6071 6043 6042 6025,6142 6097 6092 6071 6048 6042,6144 6143 6096 6074 6072 6048,6192 6144 6123 6096 6072 6046,6197 6171 6148 6093 6093 6042,6197 6196 6125 6092 6091 6078,6228 6215 6192 6172 6143 6123,6228 6227 6198 6176 6145 6122,张横，关中将领，拥兵割据一方。后张横联合马超、韩遂、侯选、程银、李堪、梁兴、成宜、马玩、杨秋共十部势力起兵反抗曹操，被击败。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
243,袁胤,1,4,弓兵,1,1092,438,162,110.4,44.2,16.7,0,0,0,0,0,0,0,0,,100,,263,,15000,192,6004 6004 6003 6002 6002 6001,6027 6026 6014 6013 6012 6001,6074 6047 6028 6014 6012 6002,6095 6092 6045 6044 6026 6013,6098 6094 6075 6048 6043 6024,6146 6097 6092 6078 6043 6042,6147 6144 6098 6075 6072 6045,6193 6142 6122 6097 6074 6048,6196 6175 6143 6096 6096 6047,6198 6192 6125 6097 6092 6072,6228 6212 6195 6177 6145 6121,6225 6223 6191 6173 6148 6121,袁胤，袁术之侄，在袁术称帝败亡后将袁术灵柩及妻子奔往庐江，为徐璆所杀。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
244,阎象,1,4,弓兵,1,1142,437,158,115.4,44.1,16.3,0,0,0,0,0,0,0,0,,100,,263,,15000,193,6004 6004 6003 6003 6002 6002,6028 6026 6013 6012 6012 6002,6076 6044 6027 6014 6013 6003,6097 6097 6045 6043 6022 6014,6093 6092 6073 6041 6041 6021,6144 6093 6092 6073 6044 6044,6147 6143 6098 6075 6073 6041,6195 6147 6123 6094 6073 6047,6195 6177 6143 6097 6096 6046,6197 6194 6124 6096 6091 6073,6221 6213 6195 6176 6145 6121,6223 6221 6194 6178 6141 6124,阎象，袁术部将，担任主簿之职，袁术商议称帝时曾劝阻，但袁术不采纳。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
245,田楷,1,4,弓兵,1,1117,434,161,112.9,43.8,16.6,0,0,0,0,0,0,0,0,,100,,263,,15000,191,6004 6003 6003 6002 6001 6001,6025 6024 6014 6012 6011 6004,6072 6048 6026 6013 6011 6002,6098 6098 6048 6042 6023 6011,6095 6094 6076 6048 6042 6028,6146 6095 6092 6071 6042 6041,6145 6145 6097 6078 6071 6046,6198 6148 6128 6097 6072 6046,6193 6178 6142 6095 6093 6047,6194 6192 6125 6092 6091 6072,6226 6213 6191 6174 6148 6121,6226 6224 6192 6173 6144 6122,田楷，公孙瓒所任命的青州刺史，曹操攻打徐州时，应陶谦之请派遣军队往援，后领瓒命对抗袁绍。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/gongbing2,,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
246,孙匡,4,1,步兵,1,2288,261,289,230.8,26.5,29.1,0,0,0,0,0,0,0,0,,100,,251,,15000,192,6004 6004 6003 6003 6001 6001,6027 6022 6013 6013 6012 6002,6078 6046 6028 6013 6012 6002,6096 6095 6044 6041 6025 6014,6097 6095 6073 6043 6041 6026,6145 6098 6092 6078 6048 6045,6144 6144 6091 6078 6077 6045,6196 6148 6121 6097 6075 6041,6193 6176 6143 6093 6092 6043,6197 6191 6125 6095 6094 6077,6227 6218 6193 6172 6141 6125,6224 6222 6193 6172 6148 6123,孙匡，字季佐，孙坚四子，孙翊之弟。吴夫人生，曹操为安抚日渐强大的孙策势力而以曹仁之女许配孙策幼弟孙匡，两家结婚。孙匡后因过失造成军粮仓库失火，贻误了战机，孙权大怒，不许孙匡姓孙。孙匡的后代子孙也被迫因袭丁姓。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/bubing1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
247,孙瑜,4,1,步兵,1,2185,251,296,220.5,25.5,29.8,0,0,0,0,0,0,0,0,,100,,251,,15000,193,6004 6003 6002 6002 6001 6001,6028 6025 6014 6012 6012 6002,6072 6045 6026 6011 6011 6002,6098 6096 6047 6044 6021 6014,6094 6091 6076 6048 6043 6022,6143 6094 6092 6076 6045 6041,6147 6145 6091 6078 6074 6043,6198 6148 6121 6091 6072 6046,6196 6178 6145 6095 6095 6042,6197 6194 6124 6097 6092 6076,6227 6216 6194 6171 6145 6122,6226 6226 6192 6176 6141 6126,孙瑜，字仲异，孙静之子，孙权的堂兄弟，东吴的宗室成员，曾随周瑜、孙权等人征战，任丹杨太守，擅于安抚部下，招降纳顺。孙瑜爱读古籍，请学者马普来为将领官员的子弟讲学，于是东吴开始设立学官，讲授知识。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/bubing1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
248,孔秀,2,1,步兵,1,2279,254,299,229.9,25.8,30.1,0,0,0,0,0,0,0,0,,100,,251,,15000,191,6004 6003 6002 6002 6001 6001,6027 6025 6014 6012 6011 6003,6074 6045 6027 6014 6013 6003,6096 6094 6048 6045 6023 6013,6093 6093 6072 6045 6043 6025,6144 6097 6094 6075 6045 6042,6146 6143 6093 6074 6071 6041,6196 6145 6121 6095 6075 6042,6196 6175 6145 6096 6091 6047,6198 6197 6121 6093 6092 6078,6222 6216 6196 6173 6147 6125,6224 6224 6194 6174 6148 6123,过五关斩六将-东岭关,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/bubing1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
249,王植,2,1,步兵,1,2330,247,293,235.1,25.1,29.5,0,0,0,0,0,0,0,0,,100,,251,,15000,192,6004 6004 6003 6003 6002 6002,6026 6022 6014 6013 6012 6004,6072 6044 6024 6012 6011 6001,6097 6095 6045 6042 6022 6012,6093 6091 6075 6044 6044 6023,6146 6093 6091 6072 6043 6041,6142 6141 6093 6074 6071 6041,6195 6141 6123 6091 6077 6042,6196 6176 6147 6096 6093 6048,6195 6193 6123 6093 6091 6071,6227 6217 6196 6178 6144 6125,6227 6226 6198 6174 6143 6124,过五关斩六将-荥阳,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/bubing1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
250,忙牙长,3,1,步兵,1,2225,257,291,224.5,26.1,29.3,0,0,0,0,0,0,0,0,,100,,251,,15000,193,6004 6004 6003 6003 6002 6001,6023 6023 6014 6013 6012 6002,6072 6048 6024 6013 6011 6003,6093 6093 6045 6042 6023 6013,6096 6095 6074 6044 6041 6028,6142 6098 6096 6077 6047 6044,6145 6142 6092 6075 6073 6048,6198 6146 6125 6096 6075 6042,6192 6171 6147 6095 6094 6047,6195 6194 6123 6097 6092 6072,6224 6211 6193 6178 6145 6121,6225 6221 6195 6176 6146 6128,忙牙长，南蛮王孟获部将。为马岱斩。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/bubing1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
251,严纲,1,1,步兵,1,2270,252,299,229,25.6,30.1,0,0,0,0,0,0,0,0,,100,,251,,15000,191,6004 6003 6003 6002 6001 6001,6027 6024 6013 6012 6012 6004,6074 6042 6028 6013 6012 6003,6095 6092 6047 6041 6027 6014,6095 6092 6073 6044 6041 6027,6144 6096 6091 6072 6048 6046,6145 6141 6097 6076 6071 6048,6198 6146 6121 6092 6072 6042,6193 6172 6141 6098 6094 6045,6193 6192 6122 6092 6091 6072,6226 6216 6194 6175 6142 6121,6228 6225 6191 6177 6144 6124,严纲，公孙瓒所任命的冀州刺史，后来在界桥之战被袁绍的大将曲义斩杀。。,resource/head_pic/BaiErBing.png,resource/hero_pic/BaiErBingA.jpg,resource/card_pic/BaiErBing.jpg,resource/bones/bubing1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
252,胡车儿,1,1,步兵,1,2300,259,301,232,26.4,30.3,0,0,0,0,0,0,0,0,,100,,251,,15000,192,6004 6004 6003 6003 6002 6002,6028 6027 6013 6013 6011 6004,6071 6047 6026 6012 6012 6003,6098 6096 6047 6045 6024 6013,6094 6092 6072 6048 6041 6027,6147 6094 6092 6077 6047 6044,6146 6143 6093 6075 6072 6046,6195 6142 6125 6098 6074 6046,6192 6178 6148 6098 6092 6047,6196 6196 6122 6092 6091 6074,6221 6218 6191 6176 6142 6126,6227 6227 6197 6176 6146 6125,胡车儿，张绣部下偏将，此人能力负五百斤，日行七百里。张绣在淯水袭击曹操时，胡车儿献计并偷走典韦的双戟，使典韦战死，曹操大败。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/bubing1_y,0,54,,,,,,0,0,0,0=0=1=0,0=1=0=0,,
