技能ID,技能名称,技能描述,辅助描述,技能星级,可升等级,消耗,攻击次数,作用范围类型,作用对象,作用中心横坐标,作用对象职业,作用对象阵营,作用对象属性,效果阵营覆盖,阵营覆盖成长,效果职业覆盖,职业覆盖成长,二级属性临时变更,临时变更成长,攻击系数,攻击系数成长,攻击常数,攻击常数成长,中毒系数,中毒系数成长,中毒常数,中毒常数成长,持续时间,伤害次数,无视防御,催眠,催眠成长,吸血百分比,吸血成长,攻击偷取,攻击偷取成长,增加怒气消耗,增加怒气消耗成长,怒气值增加,怒气值增加成长,伤害类型,伤害效果成长,驱散debuff,技能子弹,BUFF ID,技能展示图片,技能音效,技能icon,技能卡牌资源
1052,貂蝉,随机使一个角色催眠，直至该角色受到伤害，技能等级越高成功率越高。,,,,,0,4,1,,,,4,,,,,0,,0,0,,,0,0,,,0,0,,500,25,,,,,,,,,,,,1052,,,,resource/icon/skill/skill_icon.png,
1053,貂蝉,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1053,,,,resource/icon/skill/skill_icon.png,
1054,貂蝉,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1054,,,,resource/icon/skill/skill_icon.png,
1055,华佗,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1055,,,,resource/icon/skill/skill_icon.png,
1056,华佗,对随机一个敌方武将造成每回合%.1f%%攻击的伤害（无视防御），持续4回合。,,,,,0,4,1,,,,4,,,,,0,,0,0,,,0.28,0.0068,,,4000,4,,0,,,,,,,,,,,,,1056,92,,,resource/icon/skill/skill_icon.png,
1057,华佗,给予生命最低的己方武将无敌状态，持续%.1f秒。,,,,,0,4,3,,,,2,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1057,278,,,resource/icon/skill/skill_icon.png,
1058,小乔,对最后方武将造成%.1f%%的伤害，并机率使其冰冻，持续3秒。,,,,,1,4,1,4,,,,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1058,213,,,resource/icon/skill/skill_icon.png,
1059,小乔,对前方一列造成%.1f%%的伤害，并机率使其冰冻，持续3秒。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1059,214,,,resource/icon/skill/skill_icon.png,
1060,小乔,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1060,,,,resource/icon/skill/skill_icon.png,
1061,甄姬,降低全体敌方将领防御%.1f%%，持续4秒。,,,,,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1061,153,,,resource/icon/skill/skill_icon.png,
1062,甄姬,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1062,,,,resource/icon/skill/skill_icon.png,
1063,甄姬,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1063,,,,resource/icon/skill/skill_icon.png,
1064,马云禄,对全体敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,4,1,,,,,,,,,0,,0.38,0.0092,,,0,0,,,0,0,,0,,,,,,,,,,,,,1064,,,,resource/icon/skill/skill_icon.png,
1065,马云禄,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1065,,,,resource/icon/skill/skill_icon.png,
1066,马云禄,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1066,,,,resource/icon/skill/skill_icon.png,
1067,孙策,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1067,,,,resource/icon/skill/skill_icon.png,
1068,孙策,对前排造成%.1f%%的伤害，并机率使其冰冻，持续3秒。,,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1068,215,,,resource/icon/skill/skill_icon.png,
1069,孙策,自身提升%.1f%%的爆伤，持续8秒。,,,,,0,1,2,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1069,1195,,,resource/icon/skill/skill_icon.png,
1070,曹仁,让自身获得一个防御buff，提升防御%.1f%%，持续8秒,,,,,0,1,2,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1070,74,,,resource/icon/skill/skill_icon.png,
1071,曹仁,对前排敌人造成%.1f%%的伤害。,,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1071,,,,resource/icon/skill/skill_icon.png,
1072,曹仁,使得后2排敌方武将缓速（技能等级越高成功率越高），持续5秒。,,,,,0,6,1,4,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1072,258,,,resource/icon/skill/skill_icon.png,
1073,张郃,降低全体敌方将领攻击%.1f%%，持续4秒。,,,,,0,4,1,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1073,132,,,resource/icon/skill/skill_icon.png,
1074,张郃,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1074,,,,resource/icon/skill/skill_icon.png,
1075,张郃,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1075,,,,resource/icon/skill/skill_icon.png,
1076,冲锋陷阵,对前2排敌方武将造成%.1f%%的伤害，且机率使其晕眩3秒。,1=52=1.3,,,,1,5,1,1,,,,,,,,0,,0.52,0.0126,,,0,0,,,0,0,,0,,,,,,,,,,,,,1076,1238,,,resource/icon/skill/skill_icon.png,
1077,破甲,击溃全体敌方护甲，降低敌方%.1f%%的防御，持续5秒。,1=12=0.6,,,,0,4,1,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1077,153,,,resource/icon/skill/skill_icon.png,
1078,先主之力,调集先主之力，对前排造成%.1f%%的伤害。,1=85=2.05,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1078,,,,resource/icon/skill/skill_icon.png,
1079,关银屏,对前排敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1079,,,,resource/icon/skill/skill_icon.png,
1080,关银屏,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1080,,,,resource/icon/skill/skill_icon.png,
1081,关银屏,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1081,,,,resource/icon/skill/skill_icon.png,
1082,张星彩,对前列敌人造成%.1f%%的伤害。,,,,,1,2,1,,,,,,,,,0,,1.08,0.0262,,,0,0,,,0,0,,0,,,,,,,,,,,,,1082,,,,resource/icon/skill/skill_icon.png,
1083,张星彩,对前列造成%.1f%%的伤害，并机率使其缓速，持续5秒,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1083,259,,,resource/icon/skill/skill_icon.png,
1084,张星彩,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1084,,,,resource/icon/skill/skill_icon.png,
1085,徐庶,对前列敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1085,,,,resource/icon/skill/skill_icon.png,
1086,徐庶,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1086,,,,resource/icon/skill/skill_icon.png,
1087,徐庶,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1087,,,,resource/icon/skill/skill_icon.png,
1088,太史慈,对生命最低的敌方武将造成%.1f%%的伤害。,,,,,1,4,1,,,,2,,,,,0,,1.48,0.0359,,,0,0,,,0,0,,0,,,,,,,,,,,,,1088,,,,resource/icon/skill/skill_icon.png,
1089,太史慈,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1089,,,,resource/icon/skill/skill_icon.png,
1090,太史慈,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1090,,,,resource/icon/skill/skill_icon.png,
1091,黄忠,对敌方攻击最高武将造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,,,,,1,4,1,,,,1,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1091,216,,,resource/icon/skill/skill_icon.png,
1092,黄忠,对敌方所有武将造成%.1f%%的伤害。,,,,,1,4,1,,,,,,,,,0,,0.38,0.0092,,,0,0,,,0,0,,0,,,,,,,,,,,,,1092,,,,resource/icon/skill/skill_icon.png,
1093,黄忠,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1093,,,,resource/icon/skill/skill_icon.png,
1094,郭女王,对敌方随机一个武将造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,,,,,1,4,1,,,,4,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1094,217,,,resource/icon/skill/skill_icon.png,
1095,郭女王,对敌方随机一个武将造成%.1f%%的伤害，并机率使其冰冻3秒。,,,,,1,4,1,,,,4,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1095,236,,,resource/icon/skill/skill_icon.png,
1096,郭女王,入场时给予全体己方武将提升25%%的攻击速度，持续%.1f秒。,1=3=0.25,,,,1,4,3,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1096,286,,,resource/icon/skill/skill_icon.png,
1097,司马徽,对前列敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1097,,,,resource/icon/skill/skill_icon.png,
1098,司马徽,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1098,,,,resource/icon/skill/skill_icon.png,
1099,司马徽,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1099,,,,resource/icon/skill/skill_icon.png,
1100,许褚,对前列敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1100,,,,resource/icon/skill/skill_icon.png,
1101,许褚,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1101,,,,resource/icon/skill/skill_icon.png,
1102,许褚,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1102,,,,resource/icon/skill/skill_icon.png,
1103,甘宁,对敌方第一个目标造成%.1f%%的伤害。,,,,,1,4,1,1,,,,,,,,0,,1.45,0.0352,,,0,0,,,0,0,,0,,,,,,,,,,,,,1103,,,,resource/icon/skill/skill_icon.png,
1104,甘宁,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1104,,,,resource/icon/skill/skill_icon.png,
1105,甘宁,对敌方前排造成%.1f%%的伤害。,,,,,1,3,1,1,,,,,,,,0,,0.87,0.0211,,,0,0,,,0,0,,0,,,,,,,,,,,,,1105,,,,resource/icon/skill/skill_icon.png,
1106,骷髅术,使全体敌方武将陷入恐惧无法施放技能，持续%.1f秒。,1=1.5=0.075,,,,0,4,1,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1106,1286,,,resource/icon/skill/skill_icon.png,
1107,骷髅盾,为友方最前方一个武将提供骷髅护盾，提升防御%.1f%%，持续3秒。,1=50=5,,,,0,1,3,1,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1107,1078,,,resource/icon/skill/skill_icon.png,
1108,复生,骷髅复生，保留自身%d%%生命。,1=10=2,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1108,,,,resource/icon/skill/skill_icon.png,
1109,三日不绝,对敌方最后方武将造成%d%%伤害的攻击，并机率使其晕眩，持续3秒。,,,,,1,4,1,4,,,,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1109,222,,,resource/icon/skill/skill_icon.png,
1110,潇湘夜雨,使己方全体每回合回复%d%%攻击的血量，持续4回合。,,,,,0,4,3,,,,,,,,,0,,,,,,-0.1,-0.0024,,,2000,4,,0,,,,,,,,,,,,,1110,15,,,resource/icon/skill/skill_icon.png,
1111,琴瑟调和,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1111,,,,resource/icon/skill/skill_icon.png,
1112,大乔,使敌方随机一个武将沉默，持续%.1f秒。,,,,,0,4,1,,,,4,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1112,281,,,resource/icon/skill/skill_icon.png,
1113,大乔,对敌方后2排造成%.1f%%的伤害。,,,,,1,6,1,4,,,,,,,,0,,0.52,0.0126,,,0,0,,,0,0,,0,,,,,,,,,,,,,1113,,,,resource/icon/skill/skill_icon.png,
1114,大乔,对敌方一个随机武将造成%.1f%%，使其技能消耗怒气+1，可累加。,,,,,1,4,1,,,,4,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,50,,,,,,,1114,,,,resource/icon/skill/skill_icon.png,
1115,张昭,降低全体敌方将领防御%.1f%%，持续4秒。,,,,,0,4,1,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1115,154,,,resource/icon/skill/skill_icon.png,
1116,张昭,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1116,,,,resource/icon/skill/skill_icon.png,
1117,张昭,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1117,,,,resource/icon/skill/skill_icon.png,
1118,裂魂爪,对前列敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,3,1,1,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1118,,,,resource/icon/skill/skill_icon.png,
1119,穿心刺,,,,,,1,2,1,,,,,,,,,0,,0.88,0.0213,,,0,0,,,0,0,,0,,,,,,,,,,,,,1119,203,,,resource/icon/skill/skill_icon.png,
1120,生命强化,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1120,,,,resource/icon/skill/skill_icon.png,
1121,司马昭,对前列敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1121,,,,resource/icon/skill/skill_icon.png,
1122,司马昭,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1122,,,,resource/icon/skill/skill_icon.png,
1123,司马昭,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1123,,,,resource/icon/skill/skill_icon.png,
1124,司马师,使攻击最高敌方将领晕眩（技能等级越高成功率越高），持续%.1f秒。,,,,,0,4,1,,,,1,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1124,218,,,resource/icon/skill/skill_icon.png,
1125,司马师,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1125,,,,resource/icon/skill/skill_icon.png,
1126,司马师,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1126,,,,resource/icon/skill/skill_icon.png,
1127,定颜,使敌方前2排武将机率晕眩（技能等级越高成功率越高），持续%.1f秒。,1=2.5=0.125,,,,0,5,1,1,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,1127,1233,,,resource/icon/skill/skill_icon.png,
1128,祸水,对前2排敌方武将造成%.1f%%的伤害。,1=52=1.3,,,,1,5,1,1,,,,,,,,0,,0.52,0.0126,,,0,0,,,0,0,,0,,,,,,,,,,,,,1128,,,,resource/icon/skill/skill_icon.png,
1129,障眼,为己方最前方武将提升%d的闪避，持续2.5秒。,1=200=10,,,,0,1,3,1,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1129,1174,,,resource/icon/skill/skill_icon.png,
1130,张春华,对前排敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1130,,,,resource/icon/skill/skill_icon.png,
1131,张春华,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1131,,,,resource/icon/skill/skill_icon.png,
1132,张春华,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1132,,,,resource/icon/skill/skill_icon.png,
1133,攻心,降低敌方攻击最高武将命中%d，持续5秒。,1=250=12.5,,,,0,4,1,,,,1,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1133,1169,,,resource/icon/skill/skill_icon.png,
1134,贯穿,对敌方后排武将造成%.1f%%的伤害，并降低其20%%防御。,1=85=2.05,,,,1,3,1,4,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1134,1162,,,resource/icon/skill/skill_icon.png,
1135,怜悯,给予己方生命最低武将一个承受%d伤害的光盾。,1=500=100,,,,0,4,3,,,,2,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1135,300,,,resource/icon/skill/skill_icon.png,
1136,王元姬,使敌方前排武将机率晕眩（技能等级越高成功率越高），持续%.1f秒。,,,,,0,3,1,1,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1136,261,,,resource/icon/skill/skill_icon.png,
1137,王元姬,使敌方攻击最高武将缓速（技能等级越高成功率越高），持续%.1f秒。,,,,,0,4,1,,,,1,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1137,262,,,resource/icon/skill/skill_icon.png,
1138,王元姬,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1138,,,,resource/icon/skill/skill_icon.png,
1139,姜维,对全体敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,4,1,,,,,,,,,0,,0.38,0.0092,,,0,0,,,0,0,,0,,,,,,,,,,,,,1139,,,,resource/icon/skill/skill_icon.png,
1140,姜维,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1140,,,,resource/icon/skill/skill_icon.png,
1141,姜维,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1141,,,,resource/icon/skill/skill_icon.png,
1142,乐进,对攻击最高的敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,4,1,,,,1,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1142,,,,resource/icon/skill/skill_icon.png,
1143,乐进,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1143,,,,resource/icon/skill/skill_icon.png,
1144,乐进,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1144,,,,resource/icon/skill/skill_icon.png,
1145,无双突刺,对前排敌方将领造成%.1f%%基本攻击。,1=90=2.25,,,,1,3,1,1,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1145,,,,resource/icon/skill/skill_icon.png,
1146,万兽怒,对敌方前方武将造成%.1f%%的伤害。,1=132=3.2,,,,1,4,1,1,,,,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1146,,,,resource/icon/skill/skill_icon.png,
1147,雪耻,提升自身的暴击值%d。,1=120=12,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1147,,,,resource/icon/skill/skill_icon.png,
1148,夏侯渊,对敌方后排造成每回合%.1f%%冰冻伤害，持续4回合。,,,,,0,3,1,4,,,,,,,,0,,,,,,0.2,0.0048,,,4000,4,,0,,,,,,,,,,,,,1148,93,,,resource/icon/skill/skill_icon.png,
1149,夏侯渊,对敌方后排造成%d%的伤害，并机率使其冰冻，持续3秒。,,,,,1,3,1,4,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1149,238,,,resource/icon/skill/skill_icon.png,
1150,夏侯渊,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1150,,,,resource/icon/skill/skill_icon.png,
1151,踏地术,践踏敌方前排，造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,1=85=2.05,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1151,1231,,,resource/icon/skill/skill_icon.png,
1152,冲锋号角,入场后给予己方全体一个增加吸收%.1f%%伤害的护盾。,1=200=80,,,,0,4,3,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1152,301,,,resource/icon/skill/skill_icon.png,
1153,久经沙场,训练自身，提升%.1f%%的防御。,1=120=12,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1153,,,,resource/icon/skill/skill_icon.png,
1154,横扫,对前排敌方将领造成%.1f%%的伤害。,1=85=2.05,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1154,,,,resource/icon/skill/skill_icon.png,
1155,嘲讽,降低敌方前方武将%.1f%%防御，持续5秒。,1=22=2.2,,,,0,4,1,1,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1155,1161,,,resource/icon/skill/skill_icon.png,
1156,蛮力,自身攻击提升%.1f%%。,1=6=0.6,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1156,,,,resource/icon/skill/skill_icon.png,
1157,突刺,对前方敌方目标给予%.1f%%的伤害，并机率致晕对方，持续3秒。,,,,,1,4,1,1,,,,,,,,0,,1.3,0.0315,,,0,0,,,0,0,,0,,,,,,,,,,,,,1157,1232,,,resource/icon/skill/skill_icon.png,
1158,坚如磐石,让自身获得一个防御状态，提升防御%.1f%%，持续8秒。,,,,,0,1,2,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1158,1077,,,resource/icon/skill/skill_icon.png,
1159,程普,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1159,,,,resource/icon/skill/skill_icon.png,
1160,关兴,对前列敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1160,,,,resource/icon/skill/skill_icon.png,
1161,关兴,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1161,,,,resource/icon/skill/skill_icon.png,
1162,关兴,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1162,,,,resource/icon/skill/skill_icon.png,
1163,张苞,对前列敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1163,,,,resource/icon/skill/skill_icon.png,
1164,张苞,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1164,,,,resource/icon/skill/skill_icon.png,
1165,张苞,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1165,,,,resource/icon/skill/skill_icon.png,
1166,山河裂,对敌方前方武将造成%.1f%%的伤害。,,,,,1,4,1,1,,,,,,,,0,,1.32,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,1166,,,,resource/icon/skill/skill_icon.png,
1167,旋风斩,对前排敌方将领造成%.1f%%的伤害。,,,,,1,3,1,1,,,,,,,,0,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1167,,,,resource/icon/skill/skill_icon.png,
1168,万人敌,提升自身格挡%d。,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1168,,,,resource/icon/skill/skill_icon.png,
1169,吕蒙,使前排敌方武将晕眩（技能等级越高成功率越高），持续%.1f秒。,,,,,0,3,1,1,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1169,220,,,resource/icon/skill/skill_icon.png,
1170,吕蒙,对前排造成%.1f%%的伤害。,,,,,1,3,1,1,,,,,,,,4=100,,0.85,0.0206,,,0,0,,,0,0,,0,,,,,,,,,,,,,1170,,,,resource/icon/skill/skill_icon.png,
1171,吕蒙,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1171,,,,resource/icon/skill/skill_icon.png,
1172,鲁肃,降低全体敌方将领攻击%.1f%%，持续4秒。,,,,,0,4,1,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1172,134,,,resource/icon/skill/skill_icon.png,
1173,鲁肃,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1173,,,,resource/icon/skill/skill_icon.png,
1174,鲁肃,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1174,,,,resource/icon/skill/skill_icon.png,
1175,祝融夫人,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1175,,,,resource/icon/skill/skill_icon.png,
1176,祝融夫人,对前列敌方武将造成%.1f%%的伤害。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1176,,,,resource/icon/skill/skill_icon.png,
1177,祝融夫人,,,,,,0,1,2,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1177,74,,,resource/icon/skill/skill_icon.png,
1178,鲍三娘,对前列敌方将领造成%.1f%%基本攻击，附加%d伤害。,,,,,1,2,1,,,,,,,,,0,,0.9,0.0218,,,0,0,,,0,0,,0,,,,,,,,,,,,,1178,,,,resource/icon/skill/skill_icon.png,
1179,鲍三娘,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1179,,,,resource/icon/skill/skill_icon.png,
1180,鲍三娘,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1180,,,,resource/icon/skill/skill_icon.png,
1181,荀彧,降低全体敌方将领防御%.1f%%，持续4秒。,,,,,0,4,1,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1181,155,,,resource/icon/skill/skill_icon.png,
1182,荀彧,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1182,,,,resource/icon/skill/skill_icon.png,
1183,荀彧,,,,,,0,,,,,,,,,,,0,,,,,,0,0,,,0,0,,0,,,,,,,,,,,,,1183,,,,resource/icon/skill/skill_icon.png,
